id,code,create_at,create_by,extensions,name,parent_id,sort,resource_type,url
1,systemManager,2018-07-17 14:38:40,1,0x7B2269636F6E223A2273657474696E67227D,系统设置,0,0,MENU,/system-manager
2,setting,2018-07-17 14:39:19,1,0x7B2269636F6E223A2273657474696E67227D,系统管里,1,0,MENU,/setting
3,users,2018-07-17 14:39:35,1,0x7B2269636F6E223A2275736572227D,用户管理,2,0,MENU,/users
4,roles,2018-07-17 14:39:46,1,0x7B2269636F6E223A2274726164656D61726B227D,角色管理,2,0,MENU,/roles
5,resources,2018-07-17 14:39:58,1,0x7B2269636F6E223A227461626C65227D,资源管理,2,0,MENU,/resources
6,department,2018-07-17 14:40:07,1,0x7B2269636F6E223A22636C7573746572227D,部门管理,2,0,MENU,/department
